resurvey,plot_id,species,taxongroup,layer,cover
0,50332,Acer campestre,Vascular plant,6,0.2
0,50332,Achillea millefolium aggr.,Vascular plant,6,1
0,50332,Arrhenatherum elatius,Vascular plant,6,37
0,50332,Astragalus cicer,Vascular plant,6,1
0,50332,Avenula pubescens,Vascular plant,6,1
0,50332,Berteroa incana,Vascular plant,6,1
0,50332,Brachypodium pinnatum,Vascular plant,6,37
0,50332,Bromopsis erecta,Vascular plant,6,3
0,50332,Campanula rapunculoides,Vascular plant,6,1
0,50332,Centaurea scabiosa,Vascular plant,6,15
0,50332,Convolvulus arvensis,Vascular plant,6,1
0,50332,Dactylis glomerata,Vascular plant,6,1
0,50332,Dianthus carthusianorum aggr.,Vascular plant,6,1
0,50332,Euphorbia cyparissias,Vascular plant,6,1
0,50332,Falcaria vulgaris,Vascular plant,6,1
0,50332,Festuca stricta subsp. sulcata,Vascular plant,6,15
0,50332,Filipendula vulgaris,Vascular plant,6,0.2
0,50332,Galium mollugo aggr.,Vascular plant,6,37
0,50332,Hypericum perforatum,Vascular plant,6,1
0,50332,Knautia arvensis,Vascular plant,6,1
0,50332,Lathyrus tuberosus,Vascular plant,6,1
0,50332,Medicago falcata,Vascular plant,6,3
0,50332,Melilotus officinalis,Vascular plant,6,1
0,50332,Peucedanum oreoselinum,Vascular plant,6,15
0,50332,Plantago media,Vascular plant,6,1
0,50332,Prunus spinosa,Vascular plant,6,1
0,50332,Rosa canina aggr.,Vascular plant,6,0.2
0,50332,Salvia verticillata,Vascular plant,6,15
0,50332,Stachys officinalis,Vascular plant,6,1
0,50332,Tanacetum corymbosum,Vascular plant,6,1
0,50332,Taraxacum sect. Taraxacum,Vascular plant,6,1
0,50332,Teucrium chamaedrys,Vascular plant,6,1
0,50332,Tragopogon pratensis,Vascular plant,6,1
0,50332,Verbascum nigrum,Vascular plant,6,1
0,50332,Vicia cracca,Vascular plant,6,1
0,50374,Acer campestre,Vascular plant,6,1
0,50374,Achillea millefolium aggr.,Vascular plant,6,1
0,50374,Anthyllis vulneraria,Vascular plant,6,1
0,50374,Arabis hirsuta aggr.,Vascular plant,6,0.2
0,50374,Arrhenatherum elatius,Vascular plant,6,1
0,50374,Asperula cynanchica,Vascular plant,6,1
0,50374,Astragalus cicer,Vascular plant,6,1
0,50374,Briza media,Vascular plant,6,3
0,50374,Bromopsis erecta,Vascular plant,6,15
0,50374,Buphthalmum salicifolium,Vascular plant,6,15
0,50374,Campanula persicifolia,Vascular plant,6,1
0,50374,Carex flacca,Vascular plant,6,15
0,50374,Carex montana,Vascular plant,6,3
0,50374,Carlina acaulis,Vascular plant,6,1
0,50374,Centaurea jacea aggr.,Vascular plant,6,1
0,50374,Centaurea scabiosa,Vascular plant,6,15
0,50374,Cirsium pannonicum,Vascular plant,6,15
0,50374,Clinopodium vulgare,Vascular plant,6,1
0,50374,Cornus sanguinea,Vascular plant,6,1
0,50374,Cruciata glabra,Vascular plant,6,1
0,50374,Dactylis glomerata,Vascular plant,6,1
0,50374,Euphorbia cyparissias,Vascular plant,6,3
0,50374,Festuca stricta subsp. sulcata,Vascular plant,6,15
0,50374,Fissidens taxifolius,Moss,9,1
0,50374,Fragaria species,Vascular plant,6,3
0,50374,Galium austriacum,Vascular plant,6,1
0,50374,Hepatica nobilis,Vascular plant,6,3
0,50374,Himantoglossum adriaticum,Vascular plant,6,1
0,50374,Hylocomiadelphus triquetrus,Moss,9,15
0,50374,Hypericum perforatum,Vascular plant,6,1
0,50374,Inula salicina,Vascular plant,6,15
