plot_id,rsrv_S,historic_S,logRR_S,jaccard,diff.CM_L,diff.CM_T,diff.CM_M,diff.CM_R,diff.CM_N,country,rsrv_lon,historic_lon,rsrv_lat,historic_lat,dist_meters,rsrv_sampling_year,historic_sampling_year,diff_plot_size,timespan,rsrv_plot_size,historic_plot_size,rsrv_surveyor_name,historic_surveyor_name,EVA_dataset,EVA_country,elevation,gs_temp_change_decade,grassland_ai_1840,grassland_ai_1870,grassland_ai_2023,grassland_ca_1840,grassland_ca_1870,grassland_ca_2023,grassland_np_1840,grassland_np_1870,grassland_np_2023,pa_site,pa_site_restrict
50332,23,35,-0.1823,0.8846,-0.782,-0.1193,1.0584,-0.2981,2.3776,AT,16.149477,16.15055,48.297635,48.297617,79.49,2024,1990,0,34,20,20,V Kalusová,J Huspeka,Austria_VINCA,Austria,228.2,0.4084,96.7063151440834,94.28057442387022,92.905581637976,205.31,162.48,116.1,8,14,20,1,1
50374,42,63,-0.1761,0.8023,-0.6837,-0.3287,0.7971,-0.5127,1.4678,AT,16.18812,16.188572,48.3133223,48.313165,37.77,2024,1990,0,34,20,20,V Kalusová,J Huspeka,Austria_VINCA,Austria,212.1,0.4066999999999999,95.76717811874585,95.42442093988484,90.54587306806972,151.13,150.61,30.97,13,11,14,1,1
50384,30,39,-0.1139,0.6042,-0.125,0.0095,-0.0959,0.0318,-0.0095,AT,16.1904898,16.190213,48.3100621,48.309627,52.59,2024,1990,0,34,20,20,J Pleyer,J Huspeka,Austria_VINCA,Austria,295.6,0.4066999999999999,95.97212454446648,95.70070550826404,90.36237471087124,157.67,152.19,33,12,10,16,1,1
50390,52,43,0.0825,0.7568,-0.3314,0.0739,0.4185,-0.1528,0.7597,AT,16.1870774,16.187258,48.3127754,48.312741,13.91,2024,1990,0,34,20,20,J Pleyer,J Huspeka,Austria_VINCA,Austria,223.6,0.4066999999999999,95.91810414315654,95.38749016522424,90.34201954397392,156.33,153.76,31.26,12,11,15,1,1
50589,25,14,0.2518,0.7333,-0.1589,-0.0322,0.4916,-0.4916,0.9231,AT,16.8702452,16.870317,48.2951667,48.295225,8.39,2025,2010,0,15,25,25,J Pleyer,N Sauberer,Austria_VINCA,Austria,140.8,0.4348,97.65547921861268,97.89795105544984,94.2753554050186,280.41,227.48,105.84,5,4,12,1,1
50592,23,25,-0.0362,0.7949,-0.2009,0.1815,-0.1042,-0.5833,-0.003,AT,16.8696986,16.869501,48.2929886,48.29298,14.67,2025,2010,0,15,25,25,J Pleyer,N Sauberer,Austria_VINCA,Austria,140.8,0.4348,97.47239072950693,97.90461182380024,93.5493670886076,258.77,204.50000000000003,99.75,10,5,14,1,0
50595,15,15,0,0.84,0.2624,0.3571,-0.0907,-0.8736,-0.2665,AT,16.8710131,16.870998,48.2944065,48.294347,6.72,2025,2010,0,15,25,25,J Pleyer,N Sauberer,Austria_VINCA,Austria,141.3,0.4348,97.65547921861268,97.89795105544984,94.2753554050186,280.41,227.48,105.84,5,4,12,1,1
50596,20,14,0.1549,0.8276,0.1073,0.1154,-0.2429,-0.2186,-0.3087,AT,16.871728,16.871513,48.2955881,48.295489,19.37,2025,2010,0,15,25,25,J Pleyer,N Sauberer,Austria_VINCA,Austria,142.2,0.4348,97.65547921861268,97.89795105544984,94.2753554050186,280.41,227.48,105.84,5,4,12,1,1
51461,45,32,0.1481,0.7321,0.1532,0.0575,0.1356,0.0795,0.1244,AT,16.36161,16.36083,48.318248,48.31806,61.42,2024,1936,0,88,9,9,V Sobotka,J Uhlmann,Austria_VINCA,Austria,330.2,0.4029,95.19029694688416,94.60786721013604,89.43864878291107,108.64,102.83,51.04,6,8,11,1,1
51550,29,26,0.0474,0.641,-0.0922,0.0484,0.2856,-0.3597,0.7073,AT,16.3713935,16.3725,48.558352,48.55917,122.22,2024,1976,0,48,25,25,V Sobotka,J Eijsink,Austria_VINCA,Austria,446.3,0.3676,93.22328797680125,93.52328574771823,92.543911352116,113.14,86.39,85.76,15,18,21,1,1
