Model,Parameter,Median,CI_low,CI_high,pd
Species richness change (logRR_S),b_Intercept,-0.075,-0.121,-0.034,1
Species richness change (logRR_S),b_scaledelta_CA,-0.005,-0.029,0.021,0.653
Species richness change (logRR_S),b_scaledelta_NP,0.022,-0.002,0.048,0.959
Species richness change (logRR_S),b_protected_restrictedprotected,0.046,-0.008,0.097,0.958
Species richness change (logRR_S),b_scalegs_temp_change_decade,-0.048,-0.074,-0.022,1
Species richness change (logRR_S),b_scaleelevation,0.004,-0.02,0.03,0.629
Species richness change (logRR_S),b_countryCZSK,0.086,0.036,0.138,1
Species richness change (logRR_S),b_scalehistoric_plot_size_log,0.012,-0.012,0.035,0.827
Species richness change (logRR_S),b_scalelog_area_ratio,0.002,-0.021,0.025,0.564
Species richness change (logRR_S),b_scaledist_meters,0.047,0.024,0.071,1
Species richness change (logRR_S),b_scaletimespan,-0.061,-0.087,-0.037,1
Compositional dissimilarity (Jaccard),b_Intercept,1.09,0.97,1.207,1
Compositional dissimilarity (Jaccard),b_scaledelta_CA,-0.043,-0.114,0.023,0.893
Compositional dissimilarity (Jaccard),b_scaledelta_NP,-0.093,-0.158,-0.025,0.997
Compositional dissimilarity (Jaccard),b_protected_restrictedprotected,-0.336,-0.479,-0.197,1
Compositional dissimilarity (Jaccard),b_scalegs_temp_change_decade,0.067,-0.007,0.142,0.965
Compositional dissimilarity (Jaccard),b_scaleelevation,-0.088,-0.157,-0.017,0.994
Compositional dissimilarity (Jaccard),b_countryCZSK,0.071,-0.065,0.21,0.844
Compositional dissimilarity (Jaccard),b_scalehistoric_plot_size_log,-0.075,-0.142,-0.013,0.988
Compositional dissimilarity (Jaccard),b_scalelog_area_ratio,-0.031,-0.095,0.036,0.818
Compositional dissimilarity (Jaccard),b_scaledist_meters,-0.001,-0.063,0.061,0.514
Compositional dissimilarity (Jaccard),b_scaletimespan,0.207,0.14,0.279,1
Mean Nutrient Indicator change (ΔCM N),b_Intercept,0.294,0.17,0.423,1
Mean Nutrient Indicator change (ΔCM N),b_scaledelta_CA,0.014,-0.056,0.087,0.651
Mean Nutrient Indicator change (ΔCM N),b_scaledelta_NP,0.043,-0.025,0.117,0.892
Mean Nutrient Indicator change (ΔCM N),b_protected_restrictedprotected,0.038,-0.113,0.194,0.695
Mean Nutrient Indicator change (ΔCM N),b_scalegs_temp_change_decade,0.08,0.001,0.154,0.979
Mean Nutrient Indicator change (ΔCM N),b_scaleelevation,-0.01,-0.083,0.062,0.599
Mean Nutrient Indicator change (ΔCM N),b_countryCZSK,-0.178,-0.325,-0.027,0.991
Mean Nutrient Indicator change (ΔCM N),b_scalehistoric_plot_size_log,0.012,-0.056,0.082,0.642
Mean Nutrient Indicator change (ΔCM N),b_scalelog_area_ratio,-0.049,-0.114,0.019,0.924
Mean Nutrient Indicator change (ΔCM N),b_scaledist_meters,-0.054,-0.123,0.011,0.944
Mean Nutrient Indicator change (ΔCM N),b_scaletimespan,0.281,0.208,0.353,1
Mean Moisture Indicator change (ΔCM M),b_Intercept,-0.37,-0.499,-0.233,1
Mean Moisture Indicator change (ΔCM M),b_scaledelta_CA,-0.032,-0.112,0.043,0.794
Mean Moisture Indicator change (ΔCM M),b_scaledelta_NP,0.056,-0.019,0.132,0.923
Mean Moisture Indicator change (ΔCM M),b_protected_restrictedprotected,0.363,0.201,0.521,1
Mean Moisture Indicator change (ΔCM M),b_scalegs_temp_change_decade,0.086,0.007,0.169,0.98
Mean Moisture Indicator change (ΔCM M),b_scaleelevation,0.009,-0.069,0.088,0.586
Mean Moisture Indicator change (ΔCM M),b_countryCZSK,0.071,-0.088,0.226,0.809
Mean Moisture Indicator change (ΔCM M),b_scalehistoric_plot_size_log,0.004,-0.067,0.079,0.538
Mean Moisture Indicator change (ΔCM M),b_scalelog_area_ratio,0.034,-0.039,0.105,0.817
Mean Moisture Indicator change (ΔCM M),b_scaledist_meters,-0.018,-0.092,0.055,0.688
Mean Moisture Indicator change (ΔCM M),b_scaletimespan,-0.063,-0.14,0.014,0.944
