effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high,scenario,p_fn,p_misid,term_clean,is_baseline,new_term
fixed,cond,scale(delta_CA),-0.044878569175248934,0.034542763417392285,-1.2992176865807028,0.19386923343252746,-0.11258114139982552,0.02282400304932765,"Baseline
(observed)",NA,NA,delta ca,TRUE,ΔCore Area
fixed,cond,scale(delta_NP),-0.09964445444146268,0.03333507959531124,-2.98917703665775,0.002797299997484457,-0.16498000987004874,-0.03430889901287662,"Baseline
(observed)",NA,NA,delta np,TRUE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.35522394973090043,0.07217217711121372,-4.921895998557977,8.570976147036402e-7,-0.4966788175547253,-0.21376908190707553,"Baseline
(observed)",NA,NA,protected restrictedprotected,TRUE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.051674020662631256,0.03664942769834998,1.409954367853818,0.15855315746385984,-0.02015753768013938,0.12350557900540189,"Baseline
(observed)",NA,NA,gs temp change decade,TRUE,Warming
fixed,cond,scale(elevation),-0.09127256479710494,0.03529265760638643,-2.5861629865071025,0.009705102654044472,-0.16044490262432592,-0.02210022696988395,"Baseline
(observed)",NA,NA,elevation,TRUE,Elevation
fixed,cond,scale(log_area_ratio),-0.01095223558368874,0.03113420061051318,-0.3517750695031645,0.7250069566869597,-0.07197414746773953,0.05006967630036204,"Baseline
(observed)",NA,NA,log area ratio,TRUE,ΔPlot size
fixed,cond,scale(dist_meters),-0.009083233621340052,0.03150776655392269,-0.28828554400372747,0.7731281718730296,-0.0708373213003242,0.0526708540576441,"Baseline
(observed)",NA,NA,dist meters,TRUE,Relocation distance
fixed,cond,countryCZSK,0.09475281839245735,0.06877402164007401,1.3777414223112077,0.16828313743293596,-0.040041787094065986,0.2295474238789807,"Baseline
(observed)",NA,NA,country: czsk,TRUE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.2096598821272303,0.034592409922376124,6.060863715413237,1.353925172783925e-9,0.14186000454092712,0.2774597597135335,"Baseline
(observed)",NA,NA,timespan,TRUE,Timespan
fixed,cond,scale(delta_CA),-0.046867156779539815,0.03248664416489669,-1.4426592214834528,0.14911649183155629,-0.11053980932130561,0.01680549576222598,"FalseNeg.=0.05
Misidentif.=0.05",0.05,0.05,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.07571114933612953,0.031492780918235264,-2.404079510561435,0.016213246471788473,-0.1374358657088809,-0.013986432963378176,"FalseNeg.=0.05
Misidentif.=0.05",0.05,0.05,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.3097719702882374,0.06819881833184578,-4.54218970160056,5.567290771378772e-6,-0.44343919800684506,-0.17610474256962969,"FalseNeg.=0.05
Misidentif.=0.05",0.05,0.05,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.05700860317793858,0.034931435644411916,1.6320143196593297,0.10267646962599447,-0.011455752613387458,0.1254729589692646,"FalseNeg.=0.05
Misidentif.=0.05",0.05,0.05,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.08510816048848331,0.03345349966741632,-2.5440734552319078,0.010956804052525589,-0.15067581499344196,-0.019540505983524664,"FalseNeg.=0.05
Misidentif.=0.05",0.05,0.05,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),-0.012294317312648205,0.029625291040135435,-0.41499397578887043,0.678146313164437,-0.0703588207828308,0.04577018615753439,"FalseNeg.=0.05
Misidentif.=0.05",0.05,0.05,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),-0.01457489042396407,0.02965324680869528,-0.4915107784989753,0.6230652306037934,-0.07269418619368409,0.04354440534575595,"FalseNeg.=0.05
Misidentif.=0.05",0.05,0.05,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.10951385243307894,0.06494993745150447,1.6861271423832944,0.0917713131261021,-0.01778568576999902,0.23681339063615692,"FalseNeg.=0.05
Misidentif.=0.05",0.05,0.05,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.19290244759907144,0.033142891609452975,5.820326417869104,5.87328111825787e-9,0.12794357370102888,0.257861321497114,"FalseNeg.=0.05
Misidentif.=0.05",0.05,0.05,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),-0.02781251167108873,0.03270409836571532,-0.8504289389077124,0.39508665265471665,-0.091911366614746,0.03628634327256853,"FalseNeg.=0.10
Misidentif.=0.05",0.1,0.05,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.09130810945168517,0.031773785143417596,-2.873693173147203,0.004057028899582235,-0.15358358398529748,-0.029032634918072862,"FalseNeg.=0.10
Misidentif.=0.05",0.1,0.05,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.272978018824249,0.06893309634878528,-3.960042900772139,7.493630006406545e-5,-0.4080844050106976,-0.1378716326378004,"FalseNeg.=0.10
Misidentif.=0.05",0.1,0.05,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.04160352114350055,0.03513641267165935,1.1840571640672213,0.23639043517498956,-0.02726258223888854,0.11046962452588964,"FalseNeg.=0.10
Misidentif.=0.05",0.1,0.05,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.06707870480265758,0.0338636196680419,-1.9808486352084136,0.04760825077981894,-0.1334501797381819,-7.072298671332578e-4,"FalseNeg.=0.10
Misidentif.=0.05",0.1,0.05,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),-0.022303200578907605,0.030413196439398136,-0.7333395759090745,0.4633513427687819,-0.08191197025486974,0.037305569097054535,"FalseNeg.=0.10
Misidentif.=0.05",0.1,0.05,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),-0.006551603794995638,0.029797262471220737,-0.2198726745896007,0.8259703180789674,-0.06495316507647524,0.051849957486483966,"FalseNeg.=0.10
Misidentif.=0.05",0.1,0.05,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.08456364826842412,0.06516663448834653,1.2976525323483796,0.1944067617808885,-0.043160608322420815,0.21228790485926907,"FalseNeg.=0.10
Misidentif.=0.05",0.1,0.05,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.1750214909166098,0.033761783286199706,5.184012036122235,2.171629095018981e-7,0.10884961162181203,0.24119337021140755,"FalseNeg.=0.10
Misidentif.=0.05",0.1,0.05,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),-0.04218782359507368,0.03169764329681853,-1.3309451179074892,0.18320707006877007,-0.10431406285163544,0.019938415661488094,"FalseNeg.=0.15
Misidentif.=0.05",0.15,0.05,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.069499601374064,0.03074387115817523,-2.2606002027686443,0.023784025189292814,-0.12975648158942715,-0.00924272115870084,"FalseNeg.=0.15
Misidentif.=0.05",0.15,0.05,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.32294560893801655,0.06676441523413519,-4.8370918520814286,1.3175255407972556e-6,-0.4538014582457988,-0.19208975963023428,"FalseNeg.=0.15
Misidentif.=0.05",0.15,0.05,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.04170003964987947,0.03442575445703508,1.2113035809258164,0.2257790768451277,-0.025773199226528508,0.10917327852628744,"FalseNeg.=0.15
Misidentif.=0.05",0.15,0.05,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.050851974848487115,0.03299750708208672,-1.5410853529627093,0.12329601415935369,-0.11552590030898244,0.013821950612008214,"FalseNeg.=0.15
Misidentif.=0.05",0.15,0.05,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),-0.015541024581001501,0.03033566171257117,-0.5123021455161225,0.6084395639091636,-0.07499782898483164,0.04391577982282863,"FalseNeg.=0.15
Misidentif.=0.05",0.15,0.05,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),9.441154367846131e-4,0.029130941365211674,0.03240936930078342,0.97414559079274,-0.05615148047477833,0.05803971134834755,"FalseNeg.=0.15
Misidentif.=0.05",0.15,0.05,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.05708002549245436,0.06312419666544163,0.9042495351660255,0.3658630993214995,-0.06664112652483457,0.18080117750974328,"FalseNeg.=0.15
Misidentif.=0.05",0.15,0.05,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.17900192915473148,0.032384501152549296,5.527394981677539,3.250206631424904e-8,0.11552947323843901,0.24247438507102395,"FalseNeg.=0.15
Misidentif.=0.05",0.15,0.05,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),-0.06386143948504422,0.03331290378282939,-1.9170180990934986,0.05523563234017693,-0.12915353111983793,0.001430652149749495,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.062247002956119186,0.032022287680658755,-1.943864959832834,0.051911737723805085,-0.12500953351279098,5.155276005526163e-4,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.3005463172550578,0.07045993746400019,-4.2654922509491975,1.9946193734865598e-5,-0.4386452570374426,-0.16244737747267302,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.06310510289484907,0.0358103315045407,1.7622038178241222,0.07803486729586973,-0.007081857128490743,0.13329206291818887,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.09162297225033239,0.034196914774827454,-2.6792759771936088,0.007378155542172713,-0.15864769359137984,-0.02459825090928494,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),-0.006549243401840378,0.028054692887332547,-0.23344555679657927,0.815415441002902,-0.06153543105834418,0.048436944254663425,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),0.01505672058454187,0.031248178245861003,0.4818431482973321,0.6299173750044634,-0.04618858335983369,0.07630202452891743,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.08403222634715947,0.06647827795002999,1.264055401831021,0.2062101424964328,-0.046262804189142484,0.21432725688346144,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.1624201732600715,0.03409989800995938,4.763069180225533,1.9067043618833988e-6,0.09558560128406207,0.22925474523608091,"FalseNeg.=0.20
Misidentif.=0.05",0.2,0.05,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),-0.04798651205827997,0.032450052105992166,-1.4787807397516897,0.13919892506546808,-0.11158744548247274,0.01561442136591279,"FalseNeg.=0.05
Misidentif.=0.10",0.05,0.1,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.0751874682398019,0.03160341001315552,-2.379093528467456,0.017355271836771265,-0.1371290136542392,-0.013245922825364582,"FalseNeg.=0.05
Misidentif.=0.10",0.05,0.1,delta np,FALSE,ΔNo. Patches
