name,survey_type,surveyor_id
D Borovyk,resurvey,d_borovyk
J Pleyer,resurvey,j_pleyer
V Sobotka,resurvey,v_sobotka
W Friederike,resurvey,w_friederike
M Marek,resurvey,m_marek
Z Preislerová,resurvey,z_preislerova
E Jagošová,resurvey,e_jagosova
V Kalusová,resurvey,v_kalusova
M Vymazalová,resurvey,m_vymazalova
K Klinkovská,resurvey,k_klinkovska
P Keil,resurvey,p_keil
H Schwaiger,resurvey,h_schwaiger
N Türk,resurvey,n_turk
workshop_team,resurvey,workshop_team
G Hörmann,resurvey,g_hormann
A Clark,resurvey,a_clark
J Huspeka,historical,j_huspeka
N Sauberer,historical,n_sauberer
J Uhlmann,historical,j_uhlmann
J Eijsink,historical,j_eijsink
L Schratt-Ehrendorfer,historical,l_schratt-ehrendorfer
M Staudinger,historical,m_staudinger
A Beiser,historical,a_beiser
M Denner,historical,m_denner
J Danihelka,historical,j_danihelka
W Willner,historical,w_willner
V Grass,historical,v_grass
T Wrbka,historical,t_wrbka
S Plenk,historical,s_plenk
E Balátová-Tuláčková,historical,e_balatova-tulackova
Vegetationsökologie,historical,vegetationsokologie
F Essl,historical,f_essl
E Pauer,historical,e_pauer
W Stark,historical,w_stark
A Starka,historical,a_starka
G Kadlec,historical,g_kadlec
N Helm,historical,n_helm
G Pils,historical,g_pils
T Ellmauer,historical,t_ellmauer
H Rötzer,historical,h_rotzer
R Kaiser,historical,r_kaiser
E Hadač,historical,e_hadac
M Hejda,historical,m_hejda
H Lukšíková,historical,h_luksikova
V Tlusták,historical,v_tlustak
D Blažková,historical,d_blazkova
F Grüll,historical,f_grull
J Vicherek,historical,j_vicherek
I Skácelová,historical,i_skacelova
I Matějková,historical,i_matejkova
B Čepelová,historical,b_cepelova
E Ekrtová,historical,e_ekrtova
R Višňák,historical,r_visnak
J Moravec,historical,j_moravec
P Novák,historical,p_novak
D Hlisnikovský,historical,d_hlisnikovsky
Z Urbanová,historical,z_urbanova
J Urbánková,historical,j_urbankova
M Lepší,historical,m_lepsi
S Hejný,historical,s_hejny
J Douda,historical,j_douda
K Merunková,historical,k_merunkova
J Navrátilová,historical,j_navratilova
V Kalusová,historical,v_kalusova
K Žáková,historical,k_zakova
J Novák,historical,j_novak
I Jongepierová,historical,i_jongepierova
D Simonová,historical,d_simonova
V Sedláček,historical,v_sedlacek
K Boublík,historical,k_boublik
M Chytrý,historical,m_chytry
L Tichý,historical,l_tichy
J Šmarda,historical,j_smarda
K Rybníček,historical,k_rybnicek
M Šandová,historical,m_sandova
J Unar,historical,j_unar
A Vydrová,historical,a_vydrova
J Sofron,historical,j_sofron
A Albrechtová,historical,a_albrechtova
B Jílek,historical,b_jilek
M Ráčilová,historical,m_racilova
R Hlaváček,historical,r_hlavacek
K Kopecký,historical,k_kopecky
B Válek,historical,b_valek
Z Otýpková,historical,z_otypkova
M Hanušová,historical,m_hanusova
V Míka,historical,v_mika
J Zlámalík,historical,j_zlamalik
K Šumberová,historical,k_sumberova
V Řehořek,historical,v_rehorek
M Toman,historical,m_toman
J Klika,historical,j_klika
M Rafajová,historical,m_rafajova
M Hájek,historical,m_hajek
P Hájková,historical,p_hajkova
T Vymyslický,historical,t_vymyslicky
V Demianová,historical,v_demianova
M Sojneková,historical,m_sojnekova
J Kůrová,historical,j_kurova
I Bufková,historical,i_bufkova
D Zelený,historical,d_zeleny
J Sádlo,historical,j_sadlo
M Harásek,historical,m_harasek
H Linhard,historical,h_linhard
J Zlinská,historical,j_zlinska
V Zajacová,historical,v_zajacova
K Hegedušová,historical,k_hegedusova
M Kaleta,historical,m_kaleta
